T,TM,Tm,H,VV,V,VM,PM 2.5
27.7,31,25,81,2.7,5.9,14.8,41.32
28.8,33,26,78,3.1,5.9,20.6,47.81
30.2,35,26,71,3.5,10.2,14.8,56.02
29,34,26,83,2.1,7.2,16.5,64.58
29.3,32,27,83,1.3,7.6,14.8,70.05
27.1,29,26,93,1,7.8,13,55.51
31.6,35,28,71,3.2,5.6,13,61.66
30.2,33,28,81,3.1,6.7,11.1,65.67
27.8,31,26,91,2.6,6.3,14.8,51.4
30.4,35,26,72,3.5,13.1,22.2,34.42
30.1,34,27,70,3.7,14.3,22.2,40.83
29.6,33,27,74,3.4,10.9,18.3,50.97
31.4,36,26,65,3.5,13.7,22.2,52.06
31.4,35,27,66,4,10.9,22.2,57.52
31.9,36,27,63,3.2,9.4,14.8,61.47
31,35,27,61,4,12.8,18.3,51.67
31.3,35,27,56,3.5,13.3,22.2,73.78
30.4,34,27,57,3.2,12.8,24.1,97.63
30.7,34,26,56,3.1,8,22.2,99.5
31.2,36,25,48,4,9.3,22.2,55.19
30.6,36,25,56,3.7,12.2,20.6,63.79
30.9,36,24,53,3.5,13.5,63,58.48
31.9,37,26,56,2.9,5.7,11.1,84.57
32.2,37,27,53,2.4,7,20.6,111.58
32.4,37,27,58,2.7,6.7,11.1,108.78
29.9,35,26,79,2.1,8.5,14.8,67.62
29.9,36,26,69,3.1,10.7,16.5,64.38
29.6,35,26,69,3.4,9.1,16.5,45.65
28.7,35,23,51,4.2,8.3,20.6,82.39
29.4,35,25,54,3.5,8.5,18.3,88.08
29.3,34,25,58,3.5,8.5,16.5,89.75
27.8,35,21,53,4.2,6.3,14.8,85.7
28.1,35,21,50,3.5,7,14.8,97.62
29.1,36,21,52,3.7,6.3,16.5,103.58
29,34,22,58,2.6,9.1,22.2,144.04
29.5,35,23,48,3.4,7.2,18.3,148.44
29.1,35,22,45,3.4,6.5,22.2,130.22
29.3,35,24,63,2.9,8.9,14.8,97.67
27.4,34,21,63,2.9,7.4,20.6,75.81
28.1,34,22,57,2.9,5.9,13,95.24
29.4,36,23,51,2.1,6.1,13,170.28
30.3,36,24,45,2.4,6.3,14.8,198.1
27.1,33,20,47,2.1,7.4,13,158.04
27,33,20,41,2.6,13.3,18.3,147.65
25.4,31,21,47,3.2,8.9,22.2,101.61
24.9,31,19,50,2.7,5.6,13,113.2
23.1,29,17,59,1,2.8,11.1,245.97
24.4,30,19,52,1.6,3.1,11.1,277.53
24.9,31,18,54,1.8,3,7.6,232.4
24.9,30,19,51,1.3,3.3,9.4,244.78
21.9,27,16,69,0.6,5.6,11.1,353.86
22.7,28,19,59,1.4,8.1,14.8,217.55
24.4,29,19,52,1.6,7.2,11.1,201.44
22.9,29,17,56,1,8,18.3,291.66
22.9,29,17,57,1.4,6.9,14.8,221.68
24,32,17,46,1.6,2.4,11.1,214.24
19.2,27,12,49,1.3,3,13,238.69
18.8,27,12,57,1,2.6,11.1,271.42
19.5,27,13,55,1.3,1.9,7.6,293.73
19.4,27,13,50,2.4,8.5,22.2,149.14
20.3,28,13,46,2.4,5.7,14.8,182.5
18.1,22,12,66,1.6,5.2,16.5,193.58
19.4,26,14,74,0.8,3.7,9.4,183.28
18.6,25,14,60,1.1,3.3,11.1,170.74
17.3,24,12,71,0.6,8.7,18.3,190.14
18.7,26,13,70,0.8,4.8,13,249.8
19.2,26,14,66,1,3.3,11.1,283.59
18.8,23.8,13.4,73,1,8.3,22.2,250.69
13.1,21.3,5,60,1.9,4.8,14.8,135.42
13.1,21.3,6.8,54,1.9,9.4,18.3,118.6
12.6,22.4,6,53,1.9,5.4,18.3,88.3
12.3,21.2,6,62,1.4,4.8,14.8,114.35
12.8,21.2,6,59,1.3,3.1,14.8,181.67
12.7,20,6,64,1,3.7,9.4,135.78
11.2,19,4,58,1.9,9.3,16.5,132.56
13.3,21.2,6,52,1.6,7.6,18.3,158.69
14.3,22.4,7.6,57,1.3,9.6,20.6,187.01
